,B,V
1069,20.112,19.485
1070,18.391,17.843
1071,20.091,19.431
1072,23.036,21.475
1073,21.104,20.613
1074,21.59,20.825
1075,16.352,15.409
1076,19.519,18.936
1077,22.5,21.353
1078,20.211,19.593
1079,19.325,18.795
1080,21.77,20.944
1081,21.289,20.351
1082,19.025,18.467
1083,19.683,19.066
1084,22.746,21.897
1085,20.074,19.45
1086,19.219,18.735
1087,21.257,20.377
1088,20.622,19.78
1089,21.483,20.443
1090,19.842,19.282
1091,22.677,21.912
1092,21.776,21.363
1093,21.304,20.792
1094,16.441,15.72
1095,22.054,21.065
1096,20.14,19.43
1097,21.62,20.786
1098,19.447,18.844
1099,22.603,21.534
1100,20.908,20.143
1101,19.946,19.147
1102,21.21,20.356
1103,22.258,21.261
1104,21.833,21.045
1105,21.679,20.901
1106,21.623,20.562
1107,21.943,21.162
1108,17.577,16.859
1109,20.905,20.139
1110,20.651,19.796
1111,21.833,20.965
1112,22.527,21.611
1113,19.956,19.384
1114,20.411,19.632
1115,22.603,22.083
1116,18.481,17.946
1117,20.914,20.224
1118,22.248,21.298
1119,17.757,17.02
1120,20.445,19.75
1121,21.38,20.709
1122,21.135,20.399
1123,22.056,21.284
1124,22.8,21.249
1125,22.802,21.647
1126,18.951,18.417
1127,19.847,19.283
1128,21.436,20.713
1129,21.022,20.145
1130,18.296,17.638
1131,19.531,18.932
1132,22.411,21.368
1133,20.316,19.633
1134,22.5,21.912
1135,21.753,21.112
1136,22.712,21.154
1137,22.234,21.117
1138,,
1139,21.144,20.337
1140,19.111,18.125
1141,21.653,20.84
1142,18.849,18.299
1143,20.028,19.543
1144,20.299,19.635
1145,21.638,20.776
1146,20.235,19.507
1147,22.345,21.299
1148,15.245,15.21
1149,21.481,20.162
1150,20.006,19.465
1151,19.877,19.246
1152,14.628,13.503
1153,22.128,21.079
1154,22.509,21.511
1155,18.637,18.063
1156,20.384,19.663
1157,23.093,21.677
1158,22.884,21.825
1159,23.231,21.76
1160,19.657,19.081
1161,20.519,19.654
1162,,21.648
1163,21.876,20.647
1164,19.387,18.66
1165,21.752,21.379
1166,22.568,21.385
1167,20.742,20.096
1168,20.234,18.966
1169,18.998,19.215
1170,18.206,17.624
1171,21.308,20.587
1172,21.412,20.461
1173,20.19,19.425
1174,22.35,20.901
1175,20.215,19.584
1176,20.125,19.532
1177,21.607,20.576
1178,20.175,19.492
1179,21.078,19.869
1180,19.949,19.281
1181,20.32,19.721
1182,20.854,20.163
1183,21.341,20.447
1184,21.233,20.688
1185,20.218,19.532
1186,21.472,20.746
1187,19.604,18.792
1188,22.761,21.84
1189,21.079,20.231
1190,20.788,20.16
1191,20.199,19.549
1192,20.874,20.133
1193,19.233,18.538
1194,18.964,18.417
1195,19.255,18.637
1196,20.99,20.231
1197,19.887,19.101
1198,21.403,20.724
1199,21.267,20.353
1200,22.502,21.166
1201,21.049,20.232
1202,20.057,19.646
1203,20.931,20.201
1204,22.729,21.122
1205,22.249,21.185
1206,19.384,18.803
1207,19.107,18.555
1208,16.027,14.863
1209,20.754,20.036
1210,19.514,18.982
1211,21.715,20.871
1212,19.228,18.598
1213,20.942,20.18
1214,19.248,18.709
1215,19.571,19.045
1216,20.427,19.66
1217,13.823,12.681
1218,20.62,19.925
1219,19.526,18.875
1220,21.631,20.684
1221,21.086,20.4
1222,17.386,16.653
1223,21.207,20.422
1224,20.715,19.901
1225,20.977,20.025
1226,20.876,20.135
1227,20.387,19.696
1228,22.841,21.717
1229,22.586,21.905
1230,21.057,20.212
1231,21.027,20.273
1232,18.006,17.326
1233,20.755,20.079
1234,20.013,19.348
1235,20.346,19.49
1236,19.802,19.179
1237,22.446,21.589
1238,22.47,21.558
1239,,21.965
1240,21.014,20.453
1241,21.445,20.618
1242,20.341,19.669
1243,19.254,18.681
1244,21.713,20.834
1245,18.396,17.714
1246,,20.546
1247,22.177,21.201
1248,20.38,19.622
1249,19.272,18.739
1250,19.355,18.777
1251,22.155,21.673
1252,22.04,21.267
1253,22.149,21.191
1254,18.728,18.15
1255,22.989,21.79
1256,19.209,18.626
1257,20.922,20.245
1258,22.646,21.74
1259,22.472,21.803
1260,16.498,15.476
1261,19.923,19.287
1262,21.778,20.713
1263,20.789,20.114
1264,20.599,19.843
1265,21.808,21.493
1266,20.425,19.69
1267,22.37,21.117
1268,19.716,18.956
1269,20.99,20.336
1270,20.44,19.808
1271,21.524,20.594
1272,21.179,20.323
1273,18.702,18.166
1274,20.637,19.954
1275,20.923,19.68
1276,19.877,18.32
1277,20.229,19.645
1278,21.933,20.828
1279,21.724,20.936
1280,21.821,21.073
1281,22.442,21.395
1282,18.321,17.73
1283,19.641,19.09
1284,19.414,18.931
1285,22.274,20.851
1286,21.291,20.514
1287,20.087,19.489
1288,22.41,21.493
1289,19.712,19.095
1290,19.079,18.45
1291,20.413,19.779
1292,22.372,21.322
1293,20.347,19.538
1294,22.393,21.54
1295,22.827,21.176
1296,22.311,21.407
1297,20.622,19.85
1298,20.073,19.421
1299,20.8,19.987
1300,21.697,20.832
1301,21.16,20.304
1302,21.662,20.515
1303,20.823,19.875
1304,22.136,21.398
1305,22.651,21.268
1306,18.789,18.231
1307,21.142,20.29
1308,19.432,18.89
1309,21.258,20.381
1310,21.696,20.749
1311,20.976,20.153
1312,15.956,15.115
